Project Name,Supplier,Product,Quantity,Unit Price,Total,Start Date,Project Duration (Weeks),Deadline,Payment Status,Status
Quality Control Upgrade,Nile Equipment,Control Panel,1293,3596.40,4650145.20,09/20/2026,24,03/07/2027,Not Paid,Pending
Quality Control Upgrade,Prime Supply,Barcode Scanner,490,3159.49,1548150.10,09/14/2026,21,02/08/2027,Fully Paid,Pending
Quality Control Upgrade,Delta Trading,Printer,898,4891.91,4392935.18,09/25/2026,20,02/12/2027,Partial Payment,In Progress
Quality Control Upgrade,Global Industrial,Sensors,1431,1504.34,2152710.54,09/05/2026,20,01/23/2027,Partial Payment,Pending
Quality Control Upgrade,ABC Supplies,Control Panel,610,1798.73,1097225.30,09/18/2026,21,02/12/2027,Not Paid,Delayed
Quality Control Upgrade,ABC Supplies,Printer,1169,3412.18,3988838.42,09/10/2026,21,02/04/2027,Not Paid,Pending
Distribution Center,Future Materials,Steel Pipes,1397,2737.52,3824315.44,08/19/2026,14,11/25/2026,Partial Payment,Completed
Distribution Center,Future Materials,Pallets,1318,4810.53,6340278.54,08/25/2026,14,12/01/2026,Partial Payment,In Progress
Distribution Center,Prime Supply,Packaging Boxes,797,4268.14,3401707.58,08/20/2026,12,11/12/2026,Partial Payment,Completed
Distribution Center,Global Industrial,RFID Tags,1187,1486.40,1764356.80,08/26/2026,11,11/11/2026,Fully Paid,Delayed
Distribution Center,Future Materials,Packaging Boxes,572,50.41,28834.52,08/18/2026,15,12/01/2026,Fully Paid,Delayed
Distribution Center,ABC Supplies,Steel Pipes,1715,4521.73,7754766.95,08/26/2026,12,11/18/2026,Fully Paid,Completed
Distribution Center,Future Materials,Steel Pipes,458,3186.72,1459517.76,09/05/2026,13,12/05/2026,Fully Paid,In Progress
Distribution Center,Future Materials,RFID Tags,1296,494.85,641325.60,09/06/2026,11,11/22/2026,Partial Payment,Delayed
Distribution Center,Modern Procurement,Conveyor Belt,78,2902.07,226361.46,08/21/2026,11,11/06/2026,Partial Payment,Completed
Distribution Center,ABC Supplies,RFID Tags,1540,2083.36,3208374.40,08/23/2026,12,11/15/2026,Fully Paid,Completed
New Factory Setup,Tech Source,Electric Motor,1990,4230.26,8418217.40,05/03/2026,16,08/23/2026,Not Paid,Delayed
New Factory Setup,ABC Supplies,Cable,38,1329.65,50526.70,04/19/2026,17,08/16/2026,Partial Payment,Completed
New Factory Setup,Global Industrial,PLC Controller,1207,1911.32,2306963.24,05/06/2026,16,08/26/2026,Not Paid,In Progress
New Factory Setup,Tech Source,Control Panel,975,134.87,131498.25,05/03/2026,16,08/23/2026,Fully Paid,In Progress
New Factory Setup,Global Industrial,Steel Pipes,1336,325.45,434801.20,04/30/2026,16,08/20/2026,Fully Paid,Delayed
New Factory Setup,ABC Supplies,PLC Controller,248,707.49,175457.52,04/17/2026,16,08/07/2026,Partial Payment,Pending
New Factory Setup,Nile Equipment,Safety Helmet,209,1181.65,246964.85,05/03/2026,15,08/16/2026,Partial Payment,Delayed
New Factory Setup,Global Industrial,Electric Motor,769,3355.73,2580556.37,05/03/2026,17,08/30/2026,Fully Paid,In Progress
New Factory Setup,United Traders,Cable,1823,2080.27,3792332.21,04/19/2026,17,08/16/2026,Fully Paid,Delayed
New Factory Setup,United Traders,Cable,1933,4758.09,9197387.97,04/17/2026,16,08/07/2026,Not Paid,Delayed
Retail Expansion,Delta Trading,RFID Tags,1232,4855.76,5982296.32,11/16/2026,24,05/03/2027,Not Paid,In Progress
Retail Expansion,Future Materials,Barcode Scanner,1621,2827.24,4582956.04,11/17/2026,24,05/04/2027,Not Paid,In Progress
Retail Expansion,Prime Supply,RFID Tags,1675,4349.78,7285881.50,11/25/2026,23,05/05/2027,Fully Paid,Pending
Retail Expansion,Tech Source,Printer,577,4293.45,2477320.65,11/19/2026,23,04/29/2027,Fully Paid,Completed
Retail Expansion,Future Materials,Packaging Boxes,1645,880.74,1448817.30,11/15/2026,23,04/25/2027,Not Paid,Completed
Retail Expansion,Modern Procurement,RFID Tags,1627,3944.27,6417327.29,12/03/2026,24,05/20/2027,Not Paid,In Progress
Retail Expansion,Future Materials,Printer,553,271.47,150122.91,11/28/2026,24,05/15/2027,Not Paid,Pending
Retail Expansion,Smart Solutions,Packaging Boxes,985,2246.89,2213186.65,11/26/2026,24,05/13/2027,Fully Paid,Pending
Retail Expansion,ABC Supplies,RFID Tags,935,2524.16,2360089.60,12/04/2026,22,05/07/2027,Fully Paid,Completed
Retail Expansion,ABC Supplies,Barcode Scanner,948,3220.27,3052815.96,11/15/2026,22,04/18/2027,Partial Payment,Delayed
Conveyor Installation,Smart Solutions,Conveyor Belt,1249,2156.69,2693705.81,08/14/2026,22,01/15/2027,Fully Paid,In Progress
Conveyor Installation,Prime Supply,PLC Controller,890,2263.26,2014301.40,08/18/2026,21,01/12/2027,Partial Payment,Delayed
Conveyor Installation,Nile Equipment,PLC Controller,826,2085.79,1722862.54,08/14/2026,20,01/01/2027,Partial Payment,Completed
Conveyor Installation,Modern Procurement,Steel Pipes,1372,1281.90,1758766.80,08/15/2026,21,01/09/2027,Not Paid,Pending
Conveyor Installation,Smart Solutions,PLC Controller,1713,435.97,746816.61,08/24/2026,18,12/28/2026,Fully Paid,Completed
Conveyor Installation,United Traders,Conveyor Belt,1672,659.28,1102316.16,08/12/2026,22,01/13/2027,Fully Paid,Completed
Conveyor Installation,Nile Equipment,Conveyor Belt,1382,619.93,856743.26,08/22/2026,21,01/16/2027,Fully Paid,Pending
Conveyor Installation,ABC Supplies,Bearings,1993,1445.27,2880423.11,08/20/2026,20,01/07/2027,Not Paid,In Progress
Conveyor Installation,United Traders,PLC Controller,326,3287.11,1071597.86,08/18/2026,18,12/22/2026,Partial Payment,Completed
Conveyor Installation,United Traders,Electric Motor,245,3815.40,934773.00,08/29/2026,19,01/09/2027,Partial Payment,Pending
Solar Energy Project,Prime Supply,Sensors,197,3733.10,735420.70,11/17/2026,5,12/22/2026,Partial Payment,Delayed
Solar Energy Project,Smart Solutions,Sensors,708,795.47,563192.76,11/20/2026,4,12/18/2026,Fully Paid,Pending
Solar Energy Project,ABC Supplies,Sensors,1819,272.52,495713.88,11/16/2026,6,12/28/2026,Not Paid,Pending
Solar Energy Project,Nile Equipment,Steel Pipes,567,2221.13,1259380.71,11/24/2026,5,12/29/2026,Fully Paid,Delayed
Solar Energy Project,Global Industrial,Sensors,858,1373.10,1178119.80,11/27/2026,2,12/11/2026,Partial Payment,Delayed
Solar Energy Project,Future Materials,Control Panel,237,1423.40,337345.80,11/29/2026,5,01/03/2027,Fully Paid,Completed
Solar Energy Project,Modern Procurement,Control Panel,103,1110.39,114370.17,11/30/2026,2,12/14/2026,Not Paid,In Progress
Solar Energy Project,Tech Source,Sensors,627,4727.17,2963935.59,11/15/2026,4,12/13/2026,Partial Payment,Completed
Solar Energy Project,Global Industrial,Cable,255,48.57,12385.35,11/24/2026,3,12/15/2026,Not Paid,Delayed
Solar Energy Project,Future Materials,Cable,1100,3521.32,3873452.00,11/27/2026,6,01/08/2027,Fully Paid,Completed
Maintenance Program,Tech Source,Bearings,865,1454.68,1258298.20,12/31/2026,22,06/03/2027,Partial Payment,In Progress
Maintenance Program,Smart Solutions,Cable,1651,4738.60,7823428.60,12/31/2026,24,06/17/2027,Not Paid,Delayed
Maintenance Program,Prime Supply,Air Compressor,1739,538.26,936034.14,12/31/2026,24,06/17/2027,Partial Payment,Pending
Maintenance Program,Future Materials,Safety Helmet,820,4353.92,3570214.40,12/30/2026,23,06/09/2027,Partial Payment,In Progress
Maintenance Program,United Traders,Pumps,166,2557.31,424513.46,12/23/2026,24,06/09/2027,Fully Paid,In Progress
Maintenance Program,ABC Supplies,Gloves,1865,3883.38,7242503.70,12/31/2026,23,06/10/2027,Not Paid,Pending
Maintenance Program,Tech Source,Air Compressor,309,1287.28,397769.52,12/25/2026,24,06/11/2027,Not Paid,Pending
Maintenance Program,United Traders,Safety Helmet,372,4756.95,1769585.40,12/31/2026,24,06/17/2027,Partial Payment,Delayed
Maintenance Program,Nile Equipment,Bearings,1404,4621.53,6488628.12,12/31/2026,24,06/17/2027,Partial Payment,Completed
Maintenance Program,ABC Supplies,Bearings,319,2204.42,703209.98,12/31/2026,24,06/17/2027,Fully Paid,Completed
Safety Improvement,Modern Procurement,Control Panel,1145,4771.62,5463504.90,08/16/2026,23,01/24/2027,Fully Paid,In Progress
Safety Improvement,United Traders,Gloves,668,3028.98,2023358.64,08/31/2026,21,01/25/2027,Not Paid,Delayed
Safety Improvement,United Traders,Safety Helmet,221,4056.72,896535.12,08/25/2026,20,01/12/2027,Fully Paid,In Progress
Safety Improvement,Delta Trading,Sensors,90,1246.24,112161.60,08/29/2026,23,02/06/2027,Fully Paid,In Progress
Safety Improvement,Prime Supply,Control Panel,755,1870.53,1412250.15,08/24/2026,23,02/01/2027,Partial Payment,Completed
Safety Improvement,ABC Supplies,Sensors,1400,2993.45,4190830.00,09/04/2026,22,02/05/2027,Not Paid,Completed
Safety Improvement,Nile Equipment,Sensors,203,2794.24,567230.72,08/27/2026,22,01/28/2027,Partial Payment,In Progress
Safety Improvement,Global Industrial,Sensors,692,416.69,288349.48,08/19/2026,22,01/20/2027,Partial Payment,Delayed
Safety Improvement,Tech Source,Safety Helmet,274,2979.26,816317.24,08/17/2026,22,01/18/2027,Fully Paid,Delayed
Safety Improvement,Tech Source,Safety Helmet,1327,3960.39,5255437.53,08/19/2026,24,02/03/2027,Not Paid,Delayed
Spare Parts Procurement,Tech Source,Industrial Fan,1739,3942.72,6856390.08,02/15/2026,15,05/31/2026,Fully Paid,Pending
Spare Parts Procurement,Modern Procurement,Air Compressor,1365,1690.45,2307464.25,02/18/2026,12,05/13/2026,Fully Paid,Delayed
Spare Parts Procurement,Modern Procurement,Bearings,325,819.61,266373.25,02/18/2026,12,05/13/2026,Fully Paid,Delayed
Spare Parts Procurement,United Traders,Electric Motor,99,2060.18,203957.82,02/06/2026,14,05/15/2026,Fully Paid,Completed
Spare Parts Procurement,Nile Equipment,Pumps,1550,3745.20,5805060.00,02/13/2026,12,05/08/2026,Fully Paid,In Progress
Spare Parts Procurement,Delta Trading,Electric Motor,643,4828.33,3104616.19,02/14/2026,12,05/09/2026,Partial Payment,Delayed
Spare Parts Procurement,Modern Procurement,Bearings,955,3849.50,3676272.50,02/11/2026,15,05/27/2026,Fully Paid,Delayed
Spare Parts Procurement,Smart Solutions,Cable,1988,818.67,1627515.96,02/05/2026,15,05/21/2026,Not Paid,Completed
Spare Parts Procurement,Nile Equipment,Electric Motor,116,3209.48,372299.68,02/10/2026,15,05/26/2026,Not Paid,Pending
Spare Parts Procurement,Prime Supply,Air Compressor,593,428.54,254124.22,02/04/2026,13,05/06/2026,Partial Payment,In Progress
Office Relocation,Nile Equipment,Printer,662,4654.82,3081490.84,05/05/2026,4,06/02/2026,Not Paid,In Progress
Office Relocation,Future Materials,Packaging Boxes,88,1441.53,126854.64,04/30/2026,3,05/21/2026,Fully Paid,Delayed
Office Relocation,Tech Source,Pallets,928,3080.59,2858787.52,04/17/2026,2,05/01/2026,Partial Payment,In Progress
Office Relocation,Nile Equipment,Packaging Boxes,1720,756.10,1300492.00,05/04/2026,6,06/15/2026,Partial Payment,Pending
Office Relocation,Nile Equipment,Cable,1599,1447.63,2314760.37,04/24/2026,2,05/08/2026,Not Paid,In Progress
Office Relocation,Modern Procurement,Pallets,869,3198.37,2779383.53,05/04/2026,5,06/08/2026,Not Paid,Pending
Office Relocation,Delta Trading,Packaging Boxes,1723,4526.68,7799469.64,05/04/2026,6,06/15/2026,Not Paid,In Progress
Office Relocation,Future Materials,Printer,1481,726.45,1075872.45,04/28/2026,2,05/12/2026,Fully Paid,Completed
Office Relocation,Smart Solutions,Printer,502,2857.61,1434520.22,04/20/2026,2,05/04/2026,Fully Paid,Completed
Office Relocation,Future Materials,Cable,148,4767.48,705587.04,05/02/2026,6,06/13/2026,Fully Paid,Pending
